,GUID,Material,Type
59,0ZgIsHPWzCnP2RuLaoCwBY,['No material is associated with this element'],M_Gate Valve 150LB - 80-300 mm:200 mm
60,0ZgIsHPWzCnP2RuLaoCwCn,['No material is associated with this element'],M_Gate Valve 150LB - 80-300 mm:200 mm
61,0ZgIsHPWzCnP2RuLaoCwEY,['No material is associated with this element'],M_Check Valve - Wafer - 50-600 mm:200 mm
62,0ZgIsHPWzCnP2RuLaoCwFN,['No material is associated with this element'],M_Check Valve - Wafer - 50-600 mm:200 mm
63,0ZgIsHPWzCnP2RuLaoCw0w,['No material is associated with this element'],M_Gate Valve 150LB - 80-300 mm:200 mm
64,0ZgIsHPWzCnP2RuLaoCw4A,['No material is associated with this element'],M_Gate Valve 150LB - 80-300 mm:200 mm
65,1QNxzag7L3bAmckf5lk9kt,['Red Pump \n'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
66,1QNxzag7L3bAmckf5lk9cI,['Red Pump \n'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
67,1QNxzag7L3bAmckf5lk9ch,['Red Pump \n'],M_Elbow - Welded - Generic:Standard
68,1QNxzag7L3bAmckf5lk9c_,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
69,1QNxzag7L3bAmckf5lk9bz,['Red Pump \n'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
70,1QNxzag7L3bAmckf5lk9WC,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
71,1QNxzag7L3bAmckf5lk9W8,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
72,1QNxzag7L3bAmckf5lk9WS,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
73,1QNxzag7L3bAmckf5lk9WW,['No material is associated with this element'],M_Transition - Welded - Generic:Standard
74,1QNxzag7L3bAmckf5lk9Ws,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
75,1QNxzag7L3bAmckf5lk9$5,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
76,1QNxzag7L3bAmckf5lk9_v,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
77,1QNxzag7L3bAmckf5lk9yH,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
78,1QNxzag7L3bAmckf5lk9ES,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
79,1QNxzag7L3bAmckf5lk9DQ,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
80,1QNxzag7L3bAmckf5lk9CW,['No material is associated with this element'],NamBk_FPS_Steel_Tee Reducing_Welded:Standard
81,1QNxzag7L3bAmckf5lk9Cs,['No material is associated with this element'],NamBk_VAC_Steel_Elbow_Welded (Long_Short Radius):Long Radius
