,GUID,Material,Type
0,Sketchfab_model,Nothing,
1,ada049226c9f401490301f297f9062fb.fbx,Nothing,
2,RootNode,Nothing,
3,Column_1_,Steel metal ,Column
4,Column_01,Steel metal ,Column
5,Column_01_Column_2_0,Steel metal ,Column
